"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
19.574,122.778,19.247,149.111,20.49,154.125,20.909,14.458
19.66,126.5,19.331,150.792,20.579,156.417,21,14.292
19.745,128.764,19.414,151.472,20.668,157.611,21.091,13.222
19.83,128.125,19.498,149.833,20.757,158.319,21.182,11.403
19.915,129.306,19.582,148.042,20.846,159.361,21.273,10.847
20,133.028,19.665,148.583,20.935,160.806,21.364,11.069
20.085,135.986,19.749,146.181,21.024,160.597,21.455,10.889
20.17,137.069,19.833,144.444,21.114,155.083,21.545,11.083
20.255,138.667,19.916,148.833,21.203,145.917,21.636,11.556
20.34,138.417,20,152.597,21.292,144.361,21.727,12.097
20.426,137.861,20.084,154.931,21.381,142.958,21.818,12.403
20.511,138.042,20.167,158,21.47,139.347,21.909,12.597
20.596,140.208,20.251,163.292,21.559,143.403,22,12.139
20.681,142.75,20.335,168.181,21.648,152.222,22.091,12.458
20.766,143.792,20.418,170.472,21.737,158.694,22.182,12.639
20.851,148.319,20.502,170.5,21.826,164.958,22.273,12.722
20.936,149.75,20.586,170.264,21.915,169.014,22.364,12.472
21.021,151.528,20.669,170.333,22.004,173.625,22.455,12.403
21.106,154.236,20.753,173.208,22.094,174.778,22.545,12.486
21.191,154.861,20.837,179.556,22.183,175.75,22.636,13.264
21.277,154.444,20.921,182.347,22.272,170.458,22.727,14.542
21.362,155.458,21.004,181.708,22.361,165.306,22.818,15.194
21.447,153.625,21.088,179.569,22.45,166.361,22.909,14.792
21.532,152.764,21.172,177.389,22.539,166.986,23,14.194
21.617,153.069,21.255,173.986,22.628,166.528,23.091,14.097
21.702,154.458,21.339,170.097,22.717,168.556,23.182,14.347
21.787,154.542,21.423,168.181,22.806,174.292,23.273,14.056
21.872,152.653,21.506,167.472,22.895,176.319,23.364,13.833
21.957,154.125,21.59,168.764,22.984,175.208,23.455,13.861
22.043,159.528,21.674,170.111,23.073,170.861,23.545,13.931
22.128,162.722,21.757,170.306,23.163,169.806,23.636,13.972
22.213,160.847,21.841,172.875,23.252,167.972,23.727,14.278
22.298,161.625,21.925,176.667,23.341,168.875,23.818,14.444
22.383,163.708,22.008,180.472,23.43,169.306,23.909,14.569
22.468,165.014,22.092,179.097,23.519,168.986,24,14.681
22.553,163.347,22.176,173.917,23.608,167.833,24.091,14.917
22.638,163.833,22.259,168.333,23.697,167.403,24.182,14.944
22.723,163.375,22.343,169.819,23.786,164.389,24.273,14.903
22.809,161.958,22.427,171.083,23.875,160.694,24.364,14.5
22.894,163.806,22.51,172.222,23.964,155.403,24.455,14.458
22.979,163.889,22.594,174.833,24.053,152.639,24.545,14.375
23.064,162.083,22.678,173.5,24.143,153.111,24.636,14.611
23.149,157.528,22.762,171.778,24.232,159.889,24.727,16.194
23.234,153.611,22.845,168.25,24.321,168.389,24.818,17.153
23.319,154.292,22.929,167.111,24.41,171.806,24.909,16.847
23.404,159.972,23.013,168.736,24.499,169.181,25,16.222
23.489,162.222,23.096,173.736,24.588,167.514,25.091,16.361
23.574,164.486,23.18,174.764,24.677,169.694,25.182,17.069
23.66,163.986,23.264,175.125,24.766,166.264,25.273,16.514
23.745,164.167,23.347,176.264,24.855,164.569,25.364,15.5
23.83,164.083,23.431,178.556,24.944,166.361,25.455,15.833
23.915,167.653,23.515,176.208,25.033,164.653,25.545,16.528
24,170.097,23.598,171.083,25.122,163.708,25.636,16.375
24.085,169.722,23.682,168.944,25.212,161.431,25.727,15.694
24.17,166.931,23.766,169.889,25.301,159.986,25.818,15.389
24.255,165.736,23.849,175,25.39,156.014,25.909,15.389
24.34,165.25,23.933,178.597,25.479,152.847,26,15.222
24.426,164.486,24.017,180.292,25.568,149.861,26.091,15.292
24.511,166.444,24.1,179.986,25.657,147.319,26.182,15.667
24.596,169.611,24.184,178.083,25.746,139.986,26.273,15.889
24.681,170.833,24.268,175.889,25.835,137.708,26.364,16.097
24.766,169,24.351,174.306,25.924,139.653,26.455,16.028
24.851,168.056,24.435,173.111,26.013,143.25,26.545,16.278
24.936,167.389,24.519,170.944,26.102,148.847,26.636,16.25
25.021,166.472,24.603,168.5,26.192,154.069,26.727,16.5
25.106,166.597,24.686,166.681,26.281,154.486,26.818,16.236
25.191,165.347,24.77,167.917,26.37,151.431,26.909,16.319
25.277,165.111,24.854,172.25,26.459,152.306,27,16.597
25.362,164.431,24.937,175.653,26.548,154.444,27.091,17
25.447,163.972,25.021,177.736,26.637,157.236,27.182,16.889
25.532,162,25.105,178.5,26.726,157.306,27.273,16.847
25.617,160.083,25.188,177.125,26.815,160.292,27.364,16.958
25.702,160.444,25.272,173.042,26.904,159.306,27.455,16.708
